PRODUCTO 1, COD0001, DESCRIPCION PRODUCTO 1
PRODUCTO 2, COD0002, DESCRIPCION PRODUCTO 2
PRODUCTO 3, COD0003, DESCRIPCION PRODUCTO 3
PRODUCTO 4, COD0004, DESCRIPCION PRODUCTO 4
PRODUCTO 5, COD0005, DESCRIPCION PRODUCTO 5
PRODUCTO 6, COD0006, DESCRIPCION PRODUCTO 6
PRODUCTO 7, COD0007, DESCRIPCION PRODUCTO 7
PRODUCTO 8, COD0008, DESCRIPCION PRODUCTO 8
PRODUCTO 9, COD0009, DESCRIPCION PRODUCTO 9
PRODUCTO 10, COD00010, DESCRIPCION PRODUCTO 10
PRODUCTO 11, COD00011, DESCRIPCION PRODUCTO 11
PRODUCTO 12, COD00012, DESCRIPCION PRODUCTO 12
